region,location,name,population,pop_active_duty,pop_active_duty_fam,pop_civilian,pop_contract,pop_retired,pop_retired_fam,pop_resrv_ntgrd
CONUS,Alabama,Anniston Army Depot,"<div class=""section-text"">
<p>ANAD's workforce includes Active Duty Officers, DoD Civilian Employees, Tenant Employees, Contract Employees, and NAF Employees. 4,316 Depot Employees.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Alabama,Fort Rucker,"<div class=""section-text"">
<ul>
<li>Post Population: 20,210</li>
  <li>Military: 5,009</li>
  <li>Civilian: 10,104</li>
  <li>Military Family Members: 5,097</li>
</ul>
<p>Fort Rucker, AL has a population of 4,681 and is the 6,757th largest city in the United States. The population density is 431 per sq mi which is 368% higher than the Alabama average and 376% higher than the national average. The median age in Fort Rucker is 23 which is approximately 39% lower than the Alabama average of 39. In Fort Rucker, 63% of the population over 15 years of age are married, 92% speak English and 7% speak Spanish. 12% of Fort Rucker residents were born in Alabama, 80% were born out of state, 5% were born outside of the United States and 3% were foreign born.</p>
</div>",5009,5097,10104,NA,NA,NA,NA
CONUS,Alabama,Maxwell AFB and Gunter Annex,<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Alabama,Redstone Arsenal,"<div class=""section-text""><p>The current population within a 40-mile radius includes 850 Active Duty  35,500 plus Department of Defense Civilians and contractors, 15,000 Retirees and Family Members.</p></div>",850,NA,35500,NA,15000,NA,NA
CONUS,Alabama,"USAREC, 2nd Medical Recruiting Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Alabama,"USAREC, Montgomery Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Arizona,Davis-Monthan AFB,"<div class=""section-text""><ul>
<li>355th Wing =  5,600</li>
  <li>Base Population Supported = 11,100</li>
</ul></div> <br/> <div class=""section-text""><p>Davis-Monthan AFB is located in Tucson, AZ.   Tucson is the second largest city in Arizona located in the diverse Sonoran Desert region of the Southwestern United States.  Tucson has about 545,975 (2018) people, and is in Pima County. Other nearby small communities include Marana, Oro Valley, Vail, Sahuarita, and Green Valley.  Tucson is located 108 miles southeast of Phoenix and 60 miles north of the U.S. - Mexico border. <br><br>It is about 7 miles from downtown Tucson to Davis-Monthan; this takes about 14 minutes to commute, but the metro area is large and travel times can vary significantly. The average commute in Tucson is about 21 minutes.<br><br>Major local employers include Amazon, Raytheon Missile Systems, the University of Arizona, State of Arizona, Davis-Monthan AFB, Pima County, and Banner University Medical Center. There are also many local businesses, including dozens of businesses related to the optics industry, giving the area a nickname Optics Valley.</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Arizona,Fort Huachuca,"<div class=""section-text"">
<p>Fort Huachuca is a joint services installation training over 9,000 students a year. At any given time, we have over 5,600 Military, 8,000 Civilians and over 11,000 family members.</p>
</div>",5600,11000,11000,NA,NA,NA,NA
CONUS,Arizona,Luke AFB,"<div class=""section-text""><ul>
<li>Active Duty 4,800</li>
  <li>Reservists 1,700</li>
  <li>Civilians 800</li>
  <li>Family Members 6,700</li>
  <li>Retirees 65,000</li>
</ul></div> <br/> <div class=""section-text""><p>Luke AFB is located in Glendale which has a population of 250,702. Phoenix has over 1.6 million residents. Maricopa County is the largest county in Arizona by population, which is home to 4.3 million of the state's 7.17 million people.</p></div>",4800,6700,800,NA,65000,NA,1700
CONUS,Arizona,MCAS Yuma,"<div class=""section-text""><p>6592 military, 5531 Family members, 2651 Civilians 5000 transients</p></div>",6592,5531,5000,NA,NA,NA,NA
CONUS,Arizona,"USAREC, Phoenix Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Arizona,Yuma Proving Ground,"<div class=""section-text"">
<p>Total population is approximately 11,757</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Arkansas,Little Rock AFB,"<div class=""section-text""><ul>
<li>6,995 military members</li>
  <li>5,582 family members</li>
  <li>1,316 civilians</li>
</ul></div> <br/> <div class=""section-text""><p>Little Rock-North Little Rock-Conway metro: 729,135; Jacksonville: 28,513; Cabot: 26,141.</p></div>",6995,5582,1316,NA,NA,NA,NA
CONUS,Arkansas,Pine Bluff Arsenal,"<div class=""section-text"">
<p>The Pine Bluff Arsenal is a very small installation. Our population is primarily DOD civilians.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,Beale AFB,"<div class=""section-text""><ul>
<li>Active Duty: 3,920</li>
  <li>Family Members: 4,032</li>
  <li>Civilian Employees: 756</li>
  <li>Reservists/Guard: 1,200</li>
  <li>Retirees: 35,000</li>
  <li>Cows:  1,441</li>
</ul></div> <br/> <div class=""section-text""><p>Beale AFB is located near Marysville, CA in Yuba County, but is surrounded by Sutter, Placer, and Nevada counties.  The population of the four counties is in excess of 600,000.  Beale's population is dispersed throughout all four counties. </p></div>",3920,4032,756,NA,35000,NA,1200
CONUS,California,Camp Parks,<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,California,Camp Pendleton,"<div class=""section-text""><ul>
<li>More than 42,000 active duty personnel;</li>
  <li>More than 38,000 military family members occupy base housing complexes. However, with a daytime population of 70,000 military and civilian personnel;</li>
  <li>More than 77,000 retired military personnel reside within a 50-mile radius of Camp Pendleton with all the privileges to Base recreation facilities, commissary, exchange and medical services.</li>
</ul></div> <br/> <div class=""section-text"">
<p style=""margin: 0px 0px 10.66px;""><span style=""font-size: 16px;""><font face=""Calibri""><font color=""#000000""><span style=""margin: 0px; line-height: 107%;"">Southern California is a highly populated area, and in recent years is rapidly growing in numbers. Camp Pendleton's area is so large that it borders several cities and three counties. </span><span style=""margin: 0px; word-spacing: 0px; float: none; cursor: text; -ms-word-wrap: break-word; orphans: 2; -webkit-text-stroke-width: 0px;"">Camp Pendleton is directly above Oceanside, CA with a population of 176,193 people. San Diego County, which borders Camp Pendleton to the south and southeast, has a population of </span><span style=""margin: 0px; word-spacing: 0px; float: none; list-style-position: outside; border-spacing: 0px 0px; orphans: 2; -webkit-text-stroke-width: 0px;"">3,337,685. Riverside County, which borders Camp Pendleton to the east, has a population of 2,423,266. Orange County, which borders Camp Pendleton to the north, has a population of </span><span style=""margin: 0px; line-height: 107%;""><span style=""margin: 0px; word-spacing: 0px; float: none; orphans: 2; -webkit-text-stroke-width: 0px;"">3,190,400. </span></span><span style=""margin: 0px; line-height: 107%;"">While Southern California is vastly populated, it gives our service members options in the types of area they would like to reside in such as city living, beach living, or country living, and offers plenty of recreational options. </span></font></font></span></p>
</div>",42000,38000,70000,NA,77000,NA,NA
CONUS,California,Defense Distribution Depot San Joaquin,"<div class=""section-text"">
<p>Defense Distribution Depot San Joaquin employs a workforce of approximately 1,500.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,Edwards AFB,"<div class=""section-text"">
<p>Active Duty 2,207<br>Air Reserve and National Guard 37<br>Civilian Employees 4,302<br>Contractors 2,265<br>Associates and NAF 229<br>Private Business 175<br>Base Exchange 138<br>Family Members 2,104</p>
</div>",2207,2104,4302,2265,NA,NA,4302
CONUS,California,Fort Hunter Liggett,"<div class=""section-text"">
<p>FHL is surrounded by small communities; Lockwood, population approx. 520, Bradley, population approx. 1,400. King City, population approx., 13,000 is 25 miles northeast while Paso Robles, population approx., 31,000 is 45 miles south.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,Fort Irwin,"<div class=""section-text""><p>Active Duty - 4,331, Rotational Soldiers - 5,642, Family Members - 7,701, Civilian Workforce - 7,306, Reserve/National Guard - 88, Number of Organizations - 84.</p></div>",4331,7701,7306,NA,NA,NA,NA
CONUS,California,Los Angeles AFB,"<div class=""section-text""><ul>
<li>1,300 active duty</li>
  <li>2,067 family members</li>
  <li>1,700 civilians</li>
</ul></div> <br/> <div class=""section-text""><p>Los Angeles County: 10,163, 507</p></div>",1300,2067,1700,NA,NA,NA,NA
CONUS,California,MCLB Barstow,"<div class=""section-text"">
<ul>
<li>Active Duty 70</li>
  <li>Reservists 16</li>
  <li>Civilians 1,482</li>
  <li>Contractors 488</li>
</ul>
<p>The base employs a combined military-civilian workforce. Marines and sailors work side-by-side with approximately 1,700 civilian employees, in many instances performing identical work.</p>
</div>",NA,NA,1482,488,NA,NA,NA
CONUS,California,MCRD San Diego,"<div class=""section-text"">
<p>Approximately 3,800 military personnel and 1,200 civilian employees.</p>
</div>",1200,NA,1200,NA,NA,NA,NA
CONUS,California,March ARB,"<div class=""section-text"">
<p>Reservists (both ARTs and TRs), Guardsmen, and active duty from all branches of the military have a presence on March ARB. The number of assigned personnel to include tenant units is well over 7,000.  Civilian population of 1,750.</p>
</div>",NA,NA,1750,NA,NA,NA,NA
CONUS,California,Marine Corps Air Station Miramar,"<div class=""section-text"">
<p>Mira Mesa has a population of approximately 80,000 and is the largest community in San Diego.  San Diego has a population of 1,266,731.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,Marine Corps Mountain Warfare Training Center (MWTC),"<div class=""section-text"">
<p>MCMWTC has approximately 250 active duty Marines and Sailors assigned as permanent personnel and approximately 100 civilian employees.</p>
</div>",250,NA,100,NA,NA,NA,NA
CONUS,California,Naval Air Facility El Centro,"<div class=""section-text"">
<p>Every month, seven to 12 squadrons and up to 1,600 personnel train here. Additionally, U.S. Air Force parachutists, U.S. Navy SEAL's, Army Green Berets, and British, French, German and Italian aviators visit for various phases of their training.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Air Station Lemoore,"<div class=""section-text""><ul>
<li>6,502 Active Duty</li>
  <li>7,476 Active Duty Dependents</li>
  <li>10,006 Retirees</li>
  <li>24,032 Retiree Dependents</li>
  <li>355 Reservists</li>
  <li>2,403 Civilians</li>
</ul></div> <br/> <div class=""section-text""><p>Lemoore has a population of 26,355. Hanford, located 20 minutes from base, has a population of 56,499. Both towns have charming historic downtown districts, with shops and restaurants. Hanford has many commercial shopping opportunities including big box stores. Fresno is a major metropolitan center, with a population of near one million people and is located approximately 45 minutes north from the base.</p></div>",13978,7476,2403,NA,10006,24032,355
CONUS,California,Naval Air Weapons Station China Lake,"<div class=""section-text"">
<p>China Lake statistics (approximations as of Dec. 2018):</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Base Coronado,"<div class=""section-text""><p>NBC maintains its stance as a consortium of eight Naval Installations unequaled in operational scope and complexity while accommodating the requirements of 16 helicopter squadrons, 2 fixed wing squadrons, 2 aircraft carriers, 4 SEAL Teams, Basic Underwater Demolition/SEAL (BUD/S) and SEAL Qualification Training (SQT), Navy Expeditionary Command Squadrons and other air, surface and subsurface commands.</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Base Point Loma,"<div class=""section-text"">
<p>Naval Base Point Loma provides support to 70 U.S. Pacific Fleet afloat and shore based tenant commands headquartered on the base. Submarine Squadron 11 (CSS-11) has 5 Los Angeles-class submarines stationed here.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Base San Diego,"<div class=""section-text""><p>Naval Base San Diego is the principal homeport of the Pacific Fleet, consisting of 56 Navy ships and more than 200 tenant commands, with a population of about 42,500 active duty, civilians and contractors coming and going from the base almost daily. </p></div>",42500,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Base Ventura County - Point Mugu/Port  Hueneme,"<div class=""section-text"">
<p><u>NBVC Stats</u></p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,Naval Support Activity Monterey,"<div class=""section-text""><p>Currently There are 87 staff (permanent Party), and approximately 1500 plus service members (students), attending NPS that consist of officers from the five U.S. uniformed services, officers from approximately 30 other countries and a small number of civilian employees. Monterey, CA. Population 27,810, Pacific Grove, CA. Population 15,041, Seaside, CA. Population 33,025, Marina, CA. Population 20,370, Carmel, CA. Population 3,722</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,Presidio of Monterey (DLI/FLC),"<div class=""section-text"">
<p>127 <span style='line-height: 107%; font-family: ""Calibri"",sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA; mso-ascii-theme-font: minor-latin; mso-hansi-theme-font: minor-latin; mso-bidi-font-family: ""Times New Roman""; mso-bidi-theme-font: minor-bidi;'><font color=""#000000"">Permanent party. </font></span>active duty;<span style='line-height: 107%; font-family: ""Calibri"",sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA; mso-ascii-theme-font: minor-latin; mso-hansi-theme-font: minor-latin; mso-bidi-font-family: ""Times New Roman""; mso-bidi-theme-font: minor-bidi;'><font color=""#000000""> </font></span> 9,692  students, active duty; 1,590 Faculty and DoD civilians</p>
</div>",NA,NA,1590,NA,NA,NA,NA
CONUS,California,Travis Air Force Base,"<div class=""section-text"">
<p style=""margin: 0in 0in 0pt;""><font face=""Calibri""><font size=""3""><span style=""color: black;"">Active Duty Military 6,641</span></font></font></p>
</div>",6641,NA,NA,NA,NA,NA,NA
CONUS,California,Twentynine Palms (MCAGCC),"<div class=""section-text"">
<p>The population of Twentynine Palms is quite large. It includes</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,California,"USAREC, Los Angeles Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,California,"USAREC, Southern California Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,California,"USAREC, US Army Battalion Central California",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,California,"USAREC, US Army Recruiting Battalion Northern California","<div class=""section-text"">
<p>The base population is comprised of 285 Active Duty/AGR Army Recruiters, 28 Civilian Staff, and 160 Family Members.</p>
</div>",285,160,NA,NA,NA,NA,NA
CONUS,California,Vandenberg AFB,"<div class=""section-text""><ul>
<li>2,892 Military Personnel</li>
  <li>3,785 Family Members</li>
  <li>1,143 DoD civilians</li>
  <li>2,822 NAF/Contractors/Private Business</li>
  <li>8,000 Retirees (Santa Barbara and San Luis Obispo Counties from all branches of service)</li>
</ul></div> <br/> <div class=""section-text"">
<p>Lompoc: 42,434; Santa Maria: 107,356; Santa Barbara County: 445,606</p>
</div>",2892,3785,1143,2822,8000,NA,NA
CONUS,Colorado,Buckley AFB,"<div class=""section-text"">
<p>Population numbers were provided by the 460 FSS Manpower and the Military Personnel Flight, except veterans and retirees  .</p>
</div>",460,NA,NA,NA,NA,NA,NA
CONUS,Colorado,Fort Carson,"<div class=""section-text"">
<p><em>Fort Carson Population Data - 70% of the Soldiers and Family Members live off post (Black Forest, Colorado Springs, Fountain, Manitou Springs, Monument, Pueblo, Security, Widefield)</em></p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Colorado,Peterson AFB,"<div class=""section-text""><ul>
<li>5,750+ active duty</li>
  <li>1,325+ reservists</li>
  <li>10,200+ family members</li>
  <li>1,901 civilians</li>
  <li>17,000+ Air Force/Navy/Marine Retirees </li>
</ul></div> <br/> <div class=""section-text""><p>Colorado Springs metro: 610,120; Colorado Springs: 500,000+</p></div>",5750,10200,1901,NA,17000,NA,1325
CONUS,Colorado,Schriever AFB,"<div class=""section-text""><ul>
<li>1,180  Military</li>
  <li>2,496 CME</li>
  <li>596 Civilians</li>
  <li>60 NAF Employees</li>
  <li>485 Reservists</li>
  <li>1, 666 Active Duty Familiy Members</li>
</ul></div> <br/> <div class=""section-text"">
<p>Colorado Springs metro: 439,886; El Paso County: 699,232</p>
</div>",NA,666,596,2496,NA,NA,485
CONUS,Colorado,USAF Academy,"<div class=""section-text"">
<p>Approximate installation population:</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Colorado,"USAREC, Denver Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Connecticut,Naval Submarine Base New London,"<div class=""section-text"">
<p>Population</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Delaware,Dover AFB,"<div class=""section-text"">
<ul>
<li>Military - 3,382</li>
  <li>Civilian - 1,063</li>
  <li>Reservists- 1,523</li>
  <li>Dependents- 4,114</li>
</ul>
<p>Area Population: 976,972 in Delaware and 38,079 in Dover proper.</p>
</div>",3382,4114,1063,NA,NA,NA,1523
CONUS,District Of Columbia,Joint Base Anacostia-Bolling,"<div class=""section-text"">
<p>JBAB has active duty, family members, civilian employees, guard reserve and retirees as part of their community.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,District Of Columbia,Joint Base Anacostia-Bolling ,"<div class=""section-text"">
<p>JBAB has active duty, family members, civilian employees, guard reserve and retirees as part of their community.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,District Of Columbia,Naval Support Activity Washington,"<div class=""section-text""><p> United States Census Bureau 2019 Estimate- 705,749</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,District Of Columbia,Pentagon - Air Force,"<div class=""section-text""><p>The Pentagon houses approximately 24,000 military and civilian employees and approximately 3,000 non-defense support personnel.</p></div>",NA,NA,3000,NA,NA,NA,NA
CONUS,Florida,Eglin AFB,"<div class=""section-text"">
<div>Eglin has approximately 20,000 + personnel and provides services for over 92,000.</div>
<div> </div>
</div> <br/> <div class=""section-text"">
<p>Okaloosa County = 203,000</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Florida,Hurlburt Field,"<div class=""section-text""><ul>
<li>Active Duty Military 8,036</li>
  <li>Hurlburt Reservists 7731</li>
  <li>Civilian Employees 1,858</li>
  <li>Family Members 11,066</li>
  <li>Contractors: 2,310</li>
</ul></div> <br/> <div class=""section-text"">
<p>2018 Population</p>
</div>",8036,11066,1858,2310,NA,NA,7731
CONUS,Florida,MacDill AFB,"<div class=""section-text""><ul>
<li>Joint Service Active Duty: 19,900 </li>
  <li>Joint Service Civilians: 2,900</li>
  <li>Family Members: 34,600</li>
  <li>Retirees: 37,900</li>
</ul></div> <br/> <div class=""section-text"">
<p>The Tampa Bay area's population is approximately 3 million. </p>
</div>",19900,34600,2900,NA,37900,NA,NA
CONUS,Florida,Naval Air Station Jacksonville,"<div class=""section-text""><ul>
<li>10,427 Total Active Duty</li>
  <li>34,000 Family Members</li>
  <li>8,354  Federal Employees: APF &amp; NAF</li>
  <li>2,500 Contract Employees</li>
  <li>1,000 Transient Personnel</li>
</ul></div> <br/> <div class=""section-text"">
<p>805,605</p>
</div>",10427,34000,8354,2500,NA,NA,NA
CONUS,Florida,Naval Air Station Key West,"<div class=""section-text""><p>NAS Key West community consists of service members and their families from the Navy, Marines, Air Force, Army, and Coast Guard, as well as civilian employees, foreign dignitaries and retirees.</p></div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Florida,Naval Air Station Pensacola,"<div class=""section-text"">
<p>14,544 military personnel</p>
</div>",14544,NA,NA,NA,NA,NA,NA
CONUS,Florida,Naval Air Station Whiting Field,"<div class=""section-text""><ul>
<li>2,540 Active Duty personnel</li>
  <li>Approximately 2,400 family members</li>
  <li>1,182 civilian employees</li>
  <li>210 non-appropriated funded employees</li>
  <li>687 contract employees</li>
  <li>Approximately 9,300 Retirees</li>
</ul></div> <br/> <div class=""section-text""><table border=""0"" class=""race_stats_table""><tbody>
<tr>
<td class=""statsGrid""><b>Total Population</b></td>
    <td class=""statsGrid"">8,826</td>
    <td class=""statsGrid"">100</td>
  </tr>
<tr>
<td class=""statsGridOdd"">White</td>
    <td class=""statsGridOdd"">6,828</td>
    <td class=""statsGridOdd"">77</td>
  </tr>
<tr>
<td class=""statsGrid"">Black or African American</td>
    <td class=""statsGrid"">1,227</td>
    <td class=""statsGrid"">13</td>
  </tr>
<tr>
<td class=""statsGridOdd"">Hispanic or Latino</td>
    <td class=""statsGridOdd"">426</td>
    <td class=""statsGridOdd"">4</td>
  </tr>
<tr>
<td class=""statsGrid"">Two or More Races</td>
    <td class=""statsGrid"">355</td>
    <td class=""statsGrid"">4</td>
  </tr>
<tr>
<td class=""statsGridOdd"">Asian</td>
    <td class=""statsGridOdd"">197</td>
    <td class=""statsGridOdd"">2</td>
  </tr>
<tr>
<td class=""statsGrid"">Some Other Race</td>
    <td class=""statsGrid"">132</td>
    <td class=""statsGrid"">1</td>
  </tr>
</tbody></table></div> <br/> <div class=""section-text""><p>NAS Whiting Field serves a population of over 1900 Active Duty personnel, approximately 2,300 Family members and 9,300 retirees.  There are 352 civilian employees, 177 non-appropriated funded employees, and 843 contract employees.</p></div>",4440,9300,1534,1530,18600,NA,NA
CONUS,Florida,Naval Station Mayport,"<div class=""section-text"">
<p>                                                       As of September 2019</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Florida,Naval Support Activity Orlando,"<div class=""section-text""><p>Today, NSA Orlando provides support to all Department of Defense activities in Central Florida, most of which support military training and simulation missions. It has added the U.S. Army's Program Executive Office for Simulation, Training, and Instrumentation, the Army's equivalent to NAWCTSD, as a major tenant unit. The combined government end strength of the base and its tenants currently comprise approximately 120 Active-Duty military and 2,200 civil service serving on or near NSA Orlando. We also serve a community of approximately 350 military family members, 3,200 Joint Services Reserves, and 48,000 military retirees in the Central Florida area.</p></div>",2200,350,2200,NA,48000,NA,3200
CONUS,Florida,Naval Support Activity Panama City,"<div class=""section-text"">
<p>We serve active duty Navy and Coast Guard permanent party personnel and families. In addition, the largest numbers of the Base population are comprised of hundreds of EOD/Diver students.</p>
</div>",NA,NA,NA,NA,NA,NA,NA
CONUS,Florida,Patrick AFB,"<div class=""section-text""><ul>
<li>3,500 active duty, guard and reservists</li>
  <li>3,100 contractors (includes mission partners)</li>
  <li>9,714 civilians (includes mission partners)</li>
  <li>5,500 dependents</li>
</ul></div> <br/> <div class=""section-text""><p>Cocoa Beach: 11,7500, Satellite Beach: 10,200, Brevard County: 470,240, other major cities in the surrounding area are Melbourne, Palm Bay, Cocoa, Rockledge, Titusville, West Melbourne, Viera, Malabar, Grant, Valkaria, and Port St. John.</p></div>",3500,5500,9714,3100,NA,NA,NA
CONUS,Florida,Tyndall AFB,"<div class=""section-text""><ul>
<li>4,500 active duty</li>
  <li>family members (unknown at this time)</li>
  <li>2,799 civilians</li>
  <li>9,257 retirees</li>
</ul></div> <br/> <div class=""section-text""><p>Panama City metro: 202,236</p></div>",4500,NA,2799,NA,9257,NA,NA
CONUS,Florida,"USAREC, Jacksonville Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Florida,"USAREC, Miami Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
CONUS,Florida,"USAREC, Tampa Battalion",<div />,NA,NA,NA,NA,NA,NA,NA
